Epoch,loss,accuracy,val_loss,val_accuracy
0,0.5802971720695496,0.7165948152542114,0.42661362886428833,0.878078281879425
1,0.4092908799648285,0.8457781672477722,0.32594749331474304,0.9120182991027832
2,0.34756964445114136,0.8733880519866943,0.2702120542526245,0.9229960441589355
3,0.31739601492881775,0.8838616013526917,0.23821738362312317,0.9299272298812866
4,0.29632046818733215,0.8912460803985596,0.21671485900878906,0.9325405955314636
5,0.2843337059020996,0.894590437412262,0.20130687952041626,0.9354676604270935
6,0.27133819460868835,0.8991178870201111,0.1948927938938141,0.935174286365509
7,0.2639155685901642,0.9016510844230652,0.18698380887508392,0.935917854309082
8,0.2591468095779419,0.9028459787368774,0.18232329189777374,0.9364491105079651
9,0.25377777218818665,0.9044683575630188,0.17624656856060028,0.9369635581970215
10,0.24962499737739563,0.9060069918632507,0.17279906570911407,0.937291145324707
11,0.24758434295654297,0.9063019752502441,0.17038197815418243,0.9375002384185791
12,0.24223960936069489,0.9084194898605347,0.17195357382297516,0.93544602394104
13,0.24344176054000854,0.9070857763290405,0.17225636541843414,0.9351038336753845
14,0.2386927306652069,0.9092183709144592,0.17087750136852264,0.9350075125694275
