Epoch,loss,accuracy,val_loss,val_accuracy
0,0.5430200695991516,0.7540408968925476,0.4470157027244568,0.8844146132469177
1,0.42338240146636963,0.8495733737945557,0.3631407916545868,0.9091538190841675
2,0.3691475987434387,0.8682942390441895,0.3134092092514038,0.9134659767150879
3,0.3404843211174011,0.8760359883308411,0.28090324997901917,0.9174765944480896
4,0.32073575258255005,0.8821983337402344,0.2582392990589142,0.9219454526901245
5,0.30817440152168274,0.8855108022689819,0.2414158433675766,0.9273345470428467
6,0.2951612174510956,0.8898675441741943,0.22973881661891937,0.9314330816268921
7,0.28693246841430664,0.8925929069519043,0.21800893545150757,0.933968186378479
8,0.28245651721954346,0.8934030532836914,0.21215535700321198,0.9348509907722473
9,0.2752035856246948,0.8959043622016907,0.2092670351266861,0.9342871904373169
10,0.2717045545578003,0.8968831300735474,0.2030821144580841,0.9338255524635315
11,0.2695089876651764,0.897290825843811,0.2048187106847763,0.9313934445381165
12,0.2633238136768341,0.8998245596885681,0.20530980825424194,0.9293670654296875
13,0.26453080773353577,0.8983799815177917,0.20419013500213623,0.9286231994628906
14,0.2602769136428833,0.9004783034324646,0.20362479984760284,0.9276372194290161
