Epoch,loss,accuracy,val_loss,val_accuracy
0,0.6352239847183228,0.6666587591171265,0.4932189881801605,0.8824414610862732
1,0.4311991333961487,0.8485130667686462,0.3705964684486389,0.9146425127983093
2,0.3617401123046875,0.8707028031349182,0.3072763681411743,0.9221934080123901
3,0.3276546895503998,0.8809025883674622,0.26826778054237366,0.9272419810295105
4,0.3042641580104828,0.8890944719314575,0.24045540392398834,0.9293450117111206
5,0.28923794627189636,0.8937599658966064,0.22224952280521393,0.9317396283149719
6,0.2756602168083191,0.8983887434005737,0.21233981847763062,0.9324039816856384
7,0.26636388897895813,0.9014378190040588,0.20207032561302185,0.9335402846336365
8,0.2600628137588501,0.9030753374099731,0.19677363336086273,0.9343599081039429
9,0.2542257606983185,0.9048210382461548,0.1903897076845169,0.9352030754089355
10,0.24849490821361542,0.906678318977356,0.18639740347862244,0.9355452060699463
11,0.24632422626018524,0.9069856405258179,0.18395870923995972,0.9361245632171631
12,0.24079619348049164,0.9091549515724182,0.18222737312316895,0.9358901381492615
13,0.24224722385406494,0.9076413512229919,0.18050535023212433,0.9362505078315735
14,0.236904114484787,0.9099715352058411,0.17886407673358917,0.9363024830818176
