Epoch,loss,accuracy,val_loss,val_accuracy
0,0.6898602247238159,0.5774763822555542,0.5705831050872803,0.6484339833259583
1,0.46686068177223206,0.8179323673248291,0.4138888418674469,0.8864433765411377
2,0.380634605884552,0.8736841678619385,0.3297160863876343,0.9180181622505188
3,0.33881112933158875,0.8836639523506165,0.2815186679363251,0.9234470129013062
4,0.313959002494812,0.8888585567474365,0.2512025237083435,0.9258798956871033
5,0.29129141569137573,0.8960568308830261,0.23315373063087463,0.9278425574302673
6,0.28396880626678467,0.8968586325645447,0.22157183289527893,0.9276649951934814
7,0.2739432156085968,0.8995882272720337,0.2113216072320938,0.9280372858047485
8,0.26840728521347046,0.9004833102226257,0.2038174718618393,0.9288246035575867
9,0.260506272315979,0.9031563401222229,0.19926656782627106,0.9289689660072327
10,0.25606489181518555,0.9043241739273071,0.19507117569446564,0.9290273785591125
11,0.25006741285324097,0.9061835408210754,0.19386662542819977,0.928787887096405
12,0.24691864848136902,0.9066892266273499,0.19198893010616302,0.9285628199577332
13,0.2464136779308319,0.9065305590629578,0.19032007455825806,0.9287394881248474
14,0.24480287730693817,0.9069082140922546,0.19137969613075256,0.9276673793792725
