Epoch,loss,accuracy,val_loss,val_accuracy
0,0.5678244233131409,0.7351215481758118,0.47584325075149536,0.8614742755889893
1,0.4224158823490143,0.8565197587013245,0.3674551248550415,0.9097093343734741
2,0.3644045889377594,0.8705476522445679,0.3111960291862488,0.9164400696754456
3,0.3369673192501068,0.8748617768287659,0.2777665853500366,0.9212923049926758
4,0.3179868459701538,0.8802513480186462,0.2532447576522827,0.9248416423797607
5,0.3063787817955017,0.8835214376449585,0.23796243965625763,0.9282217025756836
6,0.2941684126853943,0.8881828784942627,0.22718963027000427,0.9311198592185974
7,0.28619131445884705,0.8913354277610779,0.21499361097812653,0.9327132105827332
8,0.2814902365207672,0.8927107453346252,0.2121921330690384,0.9335364699363708
9,0.2751092314720154,0.8951339721679688,0.20728559792041779,0.9334716796875
10,0.2709639370441437,0.896622896194458,0.2016751915216446,0.9335750341415405
11,0.26804041862487793,0.897386908531189,0.20040269196033478,0.9328740239143372
12,0.26234540343284607,0.8999424576759338,0.20402905344963074,0.929446280002594
13,0.2631720006465912,0.8985833525657654,0.2013014405965805,0.9294499158859253
14,0.2579553723335266,0.901055634021759,0.20271018147468567,0.9280063509941101
